Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1684.431679046256
FDW14,OUT017,1428.195827513877
NCN55,OUT010,681.7367621779927
FDQ58,OUT017,2518.565521287176
FDY38,OUT027,6065.3915874338945
FDH56,OUT046,1906.0440443553234
FDL48,OUT018,675.6316147925804
FDC48,OUT027,2167.978095774676
FDN33,OUT045,1544.5986268845363
FDA36,OUT017,3148.8912388811086
FDT44,OUT017,1938.2118953552094
FDQ56,OUT045,1354.436759069708
NCC54,OUT019,659.9646756040686
FDU11,OUT049,2010.4249510159175
DRL59,OUT013,819.7017522248216
FDM24,OUT049,2473.9219351330003
FDI57,OUT045,3301.8557632214124
DRC12,OUT018,2854.7581532967197
NCM42,OUT027,2844.040243011554
FDA46,OUT010,522.9842777501556
FDA31,OUT013,2875.229417508575
NCJ31,OUT035,3980.66457977398
FDG52,OUT046,777.6076648906599
NCL19,OUT019,337.9623413303468
FDS10,OUT035,3080.805499400302
FDX22,OUT010,582.1449851224368
NCF19,OUT035,807.8990309068811
NCE06,OUT046,2631.8084050770476
DRC27,OUT046,3952.1898758365064
FDE21,OUT035,1942.9557858402902
NCR42,OUT019,25.73262341461077
FDX51,OUT018,2878.3766325813544
NCR06,OUT018,589.805064422367
FDU31,OUT027,5633.556187791443
FDU59,OUT017,2714.950299795542
FDR03,OUT027,5412.8214248043005
FDS49,OUT027,2173.4275231237452
FDD48,OUT010,272.38507038768694
NCF18,OUT017,3176.633477434081
NCD43,OUT027,2772.751863854493
NCD54,OUT018,1877.752077682418
FDY19,OUT010,266.15208773151517
NCY54,OUT017,2866.9977394566145
NCL19,OUT018,2046.7593153420594
FDP23,OUT010,597.401776997996
FDC26,OUT013,1819.2737169721318
FDR14,OUT010,98.37591674412215
NCS41,OUT035,3139.9060668773423
FDF41,OUT035,4094.3523378762675
FDU34,OUT046,2035.1782681873672
DRH11,OUT046,915.2334055464391
FDM03,OUT013,1724.1052328282735
FDS31,OUT017,3092.42117977042
FDJ20,OUT017,1985.2882579316497
FDV44,OUT027,5085.415913082539
FDG02,OUT049,3177.7446399637643
FDA09,OUT013,3026.1491688738447
FDT04,OUT013,696.8791619539716
FDL58,OUT019,682.6157684493185
FDE52,OUT045,1461.8086088331918
FDW12,OUT035,2401.9259646771393
FDL51,OUT017,3526.446841126469
NCY42,OUT027,3594.7596091420774
FDR07,OUT017,1464.252525213813
FDN40,OUT045,2431.6054798950713
FDB35,OUT027,2462.1429516439166
FDA22,OUT017,2735.280178282193
NCL06,OUT046,3932.536224560171
FDI35,OUT013,3068.237720629005
NCW42,OUT045,3592.3081239725966
NCX06,OUT049,3042.602428577089
FDC37,OUT027,2833.0908299263792
FDZ14,OUT018,1722.1887047498867
DRG49,OUT049,4007.9210604089726
NCG06,OUT045,3931.0365795697307
DRC36,OUT045,2863.1078133203014
